ApplicationId,UserId,UserName,LoweredUserName,MobileAlias,IsAnonymous,LastActivityDate
{1FB43AC2-8546-4C90-8DCF-BB7F544AAA34},{017EAC4E-E10E-4642-AC34-3B6532728588},eric,eric,,0,11/21/2018
{1FB43AC2-8546-4C90-8DCF-BB7F544AAA34},{6676975E-B0BC-4155-9C31-FBC8EC8ECFF7},mcp,mcp,,0,6/11/2018
{1FB43AC2-8546-4C90-8DCF-BB7F544AAA34},{84EA15A7-E0F0-4C37-98DB-01FAC052AAF1},wt123,wt123,,0,12/14/2018
{1FB43AC2-8546-4C90-8DCF-BB7F544AAA34},{3AC9EC83-8576-4A5C-8BC3-B05ABFF58E5E},wt2014,wt2014,,0,12/18/2018
{1FB43AC2-8546-4C90-8DCF-BB7F544AAA34},{C9FD7BD4-555A-4EAF-AF95-966AE33B708D},wttest,wttest,,0,12/5/2018
